node_index,osm_id,x_meters,y_meters,lon,lat
27,997560349,693078.2904895672,4796770.008342589,5.3803488999999995,43.29899559999999
28,26760501,692956.7854186879,4796762.021729373,5.378849399999998,43.298954899999984
29,12362108647,692980.8728194134,4796765.929332742,5.379147479500441,43.29898388156854
30,12362108651,692952.0153974263,4796783.378095893,5.378798137688874,43.29914826254311
31,21313768,692791.5669706597,4796645.544278599,5.376773399999999,43.2979493
32,12362108653,692781.2831929021,4796668.114760938,5.376654639922603,43.298154997000886
33,12362108658,692816.3358959005,4796655.557632499,5.377082009795066,43.298033045132875
34,26761397,692724.9782676591,4796774.5725812465,5.375998399999999,43.2991272
35,12362108659,692701.1352127214,4796776.106116774,5.375705237804005,43.29914710083747
36,26761381,692841.2164903458,4796665.297467913,5.377391900000001,43.298114299999995
37,26761389,692859.0014202398,4796672.506213034,5.3776135,43.2981746
38,21313771,692702.6585670966,4796495.040371441,5.375625499999999,43.296617999999995
39,12362108661,692678.81497185,4796488.226830032,5.37532941824461,43.296562802177874
40,12362108666,692725.2910114386,4796505.200933446,5.375907836923381,43.29670361978844
41,1346362741,692586.6949654982,4796539.258646332,5.374212600000001,43.2970455
42,12362108672,692575.2131313082,4796562.848067969,5.374079432373382,43.29726066826723
43,12362108674,692599.9728060256,4796517.789042784,5.374368631656611,43.296848943863786
44,26761387,692817.7737106004,4796586.20265028,5.3770754,43.2974087
45,12362108679,692808.9482104769,4796605.94263915,5.376973612077802,43.297588558252
46,21313787,693136.3513073777,4796613.452530176,5.3810091,43.2975722
47,4225950110,693144.0435897645,4796617.862247402,5.381105400000001,43.2976099
48,12362108681,693139.5302182527,4796588.593697368,5.38103952520152,43.29734773371412
49,12362108683,693165.1637336663,4796628.7120683445,5.381369362750433,43.297702095131655
50,12362108690,693142.1643802149,4796640.745702385,5.38109029045508,43.29781626070317
51,33781773,693153.045883764,4796541.603136762,5.3811895000000005,43.2969215
52,12362108691,693150.7229769873,4796567.099250506,5.381169843256518,43.29715148021332
53,12362108693,693160.2879011732,4796515.959656685,5.3812696960029545,43.296688931857226
54,21313790,693208.991329541,4796336.6482195305,5.3818066,43.295063199999994
